#,database,total_database_size,schema_name,table_name,total_table_size,table_size,index_size
1,liip-abnahme-datastore,464 GB,public,23c0e7ac-c637-45ae-bfc7-2be0d7354849,5554 MB,1618 MB,3936 MB
2,liip-abnahme-datastore,464 GB,public,f34408a0-c942-4f08-bbac-a6e456b4522b,4493 MB,1678 MB,2814 MB
3,liip-abnahme-datastore,464 GB,public,067a399d-f9ea-4231-bad6-87d8c648798f,4468 MB,1670 MB,2798 MB
4,liip-abnahme-datastore,464 GB,public,8be4cab0-424b-4580-8016-e72d32c60e0f,4454 MB,1664 MB,2789 MB
5,liip-abnahme-datastore,464 GB,public,23f62983-e59f-449c-93b7-5170d946a650,4434 MB,1658 MB,2776 MB
6,liip-abnahme-datastore,464 GB,public,49dfddfa-3c63-4dcd-89e1-190de1342204,4422 MB,1652 MB,2770 MB
7,liip-abnahme-datastore,464 GB,public,758e9b6f-6993-4914-89f5-ad8f8811615d,4401 MB,1643 MB,2758 MB
8,liip-abnahme-datastore,464 GB,public,d2421117-36a3-4451-a8e0-de2efb4e0103,4320 MB,1614 MB,2705 MB
9,liip-abnahme-datastore,464 GB,public,96e81fac-b4c6-41e6-88d5-3d27aa25e275,4313 MB,1610 MB,2702 MB
10,liip-abnahme-datastore,464 GB,public,2a1c1b83-72f5-4a32-a2e4-09119e787f2b,4307 MB,1608 MB,2698 MB
11,liip-abnahme-datastore,464 GB,public,d02b1801-20eb-4f44-9f50-3fd95e3d8fec,4269 MB,1595 MB,2673 MB
12,liip-abnahme-datastore,464 GB,public,a638dc15-e84e-43ce-8717-9e423d636080,4247 MB,1586 MB,2661 MB
13,liip-abnahme-datastore,464 GB,public,98ac953a-2629-477a-beb8-808bb6fed57b,4245 MB,1587 MB,2658 MB
14,liip-abnahme-datastore,464 GB,public,8b84f2ce-9096-4be2-a516-568b310be866,4244 MB,1584 MB,2660 MB
15,liip-abnahme-datastore,464 GB,public,ef3a217e-8da0-4d52-a3ee-cc8d0e8eb8fa,4242 MB,1584 MB,2657 MB
16,liip-abnahme-datastore,464 GB,public,6b2a3f5c-1730-4d4a-9609-fafb6157897d,4238 MB,1582 MB,2655 MB
17,liip-abnahme-datastore,464 GB,public,93e3d98c-d921-4bdd-beac-3b55fcc3687f,4194 MB,1566 MB,2627 MB
18,liip-abnahme-datastore,464 GB,public,b17feae2-dd5f-4556-b16c-4084c964cc5a,4178 MB,1559 MB,2619 MB
19,liip-abnahme-datastore,464 GB,public,b09bcfbb-5896-4e13-96fc-086144c35cda,4149 MB,1548 MB,2600 MB
20,liip-abnahme-datastore,464 GB,public,ead76e53-8a83-4fc6-95bb-dd07a2f76b5e,4137 MB,1545 MB,2591 MB
21,liip-abnahme-datastore,464 GB,public,44b042d9-904b-4b7d-95a2-60ac103563a5,3556 MB,1652 MB,1903 MB
22,liip-abnahme-datastore,464 GB,public,0d2b644f-c9b6-4502-a4eb-429eb072ee03,3546 MB,1329 MB,2217 MB
23,liip-abnahme-datastore,464 GB,public,52906e58-d750-4eeb-8343-f64a26ed3abc,3300 MB,1235 MB,2065 MB
24,liip-abnahme-datastore,464 GB,public,ad330812-e8da-4663-95a4-f4ee1886a2ac,2740 MB,1025 MB,1715 MB
25,liip-abnahme-datastore,464 GB,public,c891b2b7-fa86-4220-8703-e9e2ba1b9ac6,2732 MB,1023 MB,1709 MB
26,liip-abnahme-datastore,464 GB,public,d0b2512c-84d4-41bd-bdf9-37d88e5cea23,2727 MB,1021 MB,1706 MB
27,liip-abnahme-datastore,464 GB,public,c1def9c9-86b2-4362-8f79-8dc713f9cedb,2715 MB,1015 MB,1699 MB
28,liip-abnahme-datastore,464 GB,public,4113dc8f-7db2-4912-9305-ec0392ce970f,2689 MB,1006 MB,1682 MB
29,liip-abnahme-datastore,464 GB,public,f3ecc479-cb4b-487b-890e-5e4cb6f1556a,2651 MB,992 MB,1658 MB
30,liip-abnahme-datastore,464 GB,public,f1beba0f-7741-4577-a4a0-c03fb7773ac1,2084 MB,1936 MB,148 MB
31,liip-abnahme-datastore,464 GB,public,fdeb0997-82c6-45be-afe0-96bf39950826,2022 MB,1878 MB,144 MB
32,liip-abnahme-datastore,464 GB,public,edca90ac-b53c-4c3b-8afc-f2026f689068,2012 MB,1868 MB,143 MB
33,liip-abnahme-datastore,464 GB,public,e61af319-1d3b-43e6-bdee-05a514a44819,2010 MB,1866 MB,143 MB
34,liip-abnahme-datastore,464 GB,public,36e5969d-61bf-4792-8bd9-b30ca43cd7ce,1994 MB,1852 MB,141 MB
35,liip-abnahme-datastore,464 GB,public,d0dc15e2-cb8f-46aa-9478-1bc077df8fce,1988 MB,1846 MB,141 MB
36,liip-abnahme-datastore,464 GB,public,7cbb06a8-6cf0-4c1c-b881-f6d6bb94cada,1967 MB,1827 MB,140 MB
37,liip-abnahme-datastore,464 GB,public,1c3599e1-d59e-47c4-86bd-f388dfe286e0,1849 MB,1716 MB,132 MB
38,liip-abnahme-datastore,464 GB,public,e3ea130f-a3ab-4d58-944b-cad0c62fb0ec,1803 MB,1673 MB,129 MB
39,liip-abnahme-datastore,464 GB,public,1d68d0a2-2515-46f8-82ca-a6877500fcc1,1799 MB,1669 MB,129 MB
40,liip-abnahme-datastore,464 GB,public,52ebfb8c-4e9f-474b-93ea-a9f92d356e2b,1770 MB,1642 MB,127 MB
41,liip-abnahme-datastore,464 GB,public,5c1adc78-30d2-4965-9807-3d18d189b105,1765 MB,1638 MB,127 MB
42,liip-abnahme-datastore,464 GB,public,4e7d3b83-7225-4b21-9dc0-bf2c6edca3cd,1741 MB,1615 MB,125 MB
43,liip-abnahme-datastore,464 GB,public,68eb878d-1a01-4b21-a5e7-fe40d840a11f,1671 MB,1550 MB,120 MB
44,liip-abnahme-datastore,464 GB,public,759b40fb-6272-4956-ab56-d9f1d2bc8062,1645 MB,1526 MB,119 MB
45,liip-abnahme-datastore,464 GB,public,75354f3b-23f7-4a05-af28-2d0952f85fb6,1601 MB,1497 MB,104 MB
46,liip-abnahme-datastore,464 GB,public,ac7c925f-8418-4850-bf54-053be640c444,1597 MB,1482 MB,114 MB
47,liip-abnahme-datastore,464 GB,public,25d66f65-e401-4063-961e-895aef662f42,1586 MB,1483 MB,103 MB
48,liip-abnahme-datastore,464 GB,public,f189a8b4-4e8e-42a0-8723-d2d496abaf6a,1585 MB,1482 MB,103 MB
49,liip-abnahme-datastore,464 GB,public,fba645a1-223c-4e7c-b857-19c59dde76a0,1500 MB,1403 MB,97 MB
50,liip-abnahme-datastore,464 GB,public,17983f7c-418c-4ba7-b9a0-0a89da0b453c,1492 MB,1395 MB,97 MB
51,liip-abnahme-datastore,464 GB,public,09f432a4-031d-458f-bb89-4bb44de541d8,1470 MB,1374 MB,95 MB
52,liip-abnahme-datastore,464 GB,public,40a1554a-b38e-4072-a2f1-4e8fb9c42b4f,1448 MB,1344 MB,104 MB
53,liip-abnahme-datastore,464 GB,public,7b0e7557-14b4-4781-b7cf-55117dcbdf39,1439 MB,1335 MB,103 MB
54,liip-abnahme-datastore,464 GB,public,660bc017-cae2-45d8-b6df-c748ebd02a1e,1410 MB,1318 MB,91 MB
55,liip-abnahme-datastore,464 GB,public,aca22732-7cdf-4d74-b180-f5c1406f68b1,1407 MB,1316 MB,91 MB
56,liip-abnahme-datastore,464 GB,public,98d1a018-cd81-4199-b5d3-fea4a3974144,1390 MB,1300 MB,90 MB
57,liip-abnahme-datastore,464 GB,public,02064623-01cf-41f0-9b72-4d7bfc1c6305,1185 MB,1100 MB,85 MB
58,liip-abnahme-datastore,464 GB,public,9f72d429-ba72-4981-b06e-2cbab062d0ec,1110 MB,1030 MB,80 MB
59,liip-abnahme-datastore,464 GB,public,6ca82964-3f53-4205-8911-e3a36ed2f5a0,1082 MB,1051 MB,32 MB
60,liip-abnahme-datastore,464 GB,public,92178826-6439-481d-b7e1-cb2bcdbb87e7,1079 MB,1048 MB,31 MB
61,liip-abnahme-datastore,464 GB,public,0b6aa7a1-ea55-4e46-ab94-9d0f004b16e5,1078 MB,1047 MB,31 MB
62,liip-abnahme-datastore,464 GB,public,728caaa2-fad8-4292-9341-cb7c23176236,1078 MB,1047 MB,31 MB
63,liip-abnahme-datastore,464 GB,public,2485fe98-eaac-4187-adf7-b6266206c03c,1078 MB,1046 MB,31 MB
64,liip-abnahme-datastore,464 GB,public,f630ab61-aff2-42f7-9b8c-4fdd4e5b3f23,1077 MB,1046 MB,31 MB
65,liip-abnahme-datastore,464 GB,public,ca36fb8c-2881-4ec7-9612-72f9b6b75fa6,1076 MB,1045 MB,31 MB
66,liip-abnahme-datastore,464 GB,public,dd54f028-f7cc-47aa-82cd-d6714cfca213,1075 MB,1044 MB,31 MB
67,liip-abnahme-datastore,464 GB,public,cf0b30fd-2a91-40f5-b802-77893ee64505,1075 MB,1044 MB,31 MB
68,liip-abnahme-datastore,464 GB,public,beee86df-83e9-46d9-931d-32f9f43f36a7,1075 MB,1044 MB,31 MB
69,liip-abnahme-datastore,464 GB,public,41b45428-f5cf-4ab8-ac77-181141325514,1075 MB,1043 MB,31 MB
70,liip-abnahme-datastore,464 GB,public,a788f135-7a00-4ada-9f3e-1fd9d648cb8e,1074 MB,1043 MB,31 MB
71,liip-abnahme-datastore,464 GB,public,e0be331b-7859-4a37-83bd-f8cf45d21da2,1074 MB,1043 MB,31 MB
72,liip-abnahme-datastore,464 GB,public,f3fc6592-a94f-442c-a786-7e6bcd55af4a,1073 MB,1042 MB,31 MB
73,liip-abnahme-datastore,464 GB,public,de317463-0173-41d6-a77d-f7d72aa65168,1073 MB,1042 MB,31 MB
74,liip-abnahme-datastore,464 GB,public,cec4acb1-9072-4c93-8973-b1c6ab572239,1072 MB,1041 MB,31 MB
75,liip-abnahme-datastore,464 GB,public,0c5fb995-d237-43c5-a090-15c65150024e,1072 MB,1041 MB,31 MB
76,liip-abnahme-datastore,464 GB,public,244d86a7-1331-4686-8726-2caa071dff6b,1070 MB,1039 MB,31 MB
77,liip-abnahme-datastore,464 GB,public,30138c32-c8e3-4e77-a780-b0814ec731e3,1070 MB,1039 MB,31 MB
78,liip-abnahme-datastore,464 GB,public,c74ee8fd-6122-443a-a1f8-cd0497e54780,1070 MB,1039 MB,31 MB
79,liip-abnahme-datastore,464 GB,public,bc365dec-1ac3-46c5-9be5-5fbc9ca92187,1069 MB,1038 MB,31 MB
80,liip-abnahme-datastore,464 GB,public,77f1f141-5f15-4806-98b4-7929b45ef004,1069 MB,1038 MB,31 MB
81,liip-abnahme-datastore,464 GB,public,b054dfcc-339b-47db-b875-bbadfe9e8b81,1069 MB,1038 MB,31 MB
82,liip-abnahme-datastore,464 GB,public,d8ea8e63-ecb0-4632-b626-f2b78b48622c,1069 MB,1038 MB,31 MB
83,liip-abnahme-datastore,464 GB,public,69fd886e-4e35-446f-99d2-239820514510,1066 MB,1035 MB,31 MB
84,liip-abnahme-datastore,464 GB,public,c749a332-89dd-430a-9c9f-e8d1518f569b,1066 MB,1035 MB,31 MB
85,liip-abnahme-datastore,464 GB,public,b22ca2be-057e-4da4-9280-cfbe460d07d7,1066 MB,1035 MB,31 MB
86,liip-abnahme-datastore,464 GB,public,7aed2148-f873-446a-ba6f-8c94ff8c317c,1066 MB,1035 MB,31 MB
87,liip-abnahme-datastore,464 GB,public,a187d975-08ed-41b7-8b6c-91a7e9827a04,1066 MB,1035 MB,31 MB
88,liip-abnahme-datastore,464 GB,public,699de5ee-2070-4f5f-a850-ef9552b93bc7,1065 MB,1034 MB,31 MB
89,liip-abnahme-datastore,464 GB,public,a3fd672c-c848-48d1-9432-b7989cc6bf1b,1064 MB,1033 MB,31 MB
90,liip-abnahme-datastore,464 GB,public,4d3c7308-879c-455c-8bb0-811ec599ad9b,1063 MB,1032 MB,31 MB
91,liip-abnahme-datastore,464 GB,public,79d35d63-8684-4098-96bc-d752135e67cd,1063 MB,1032 MB,31 MB
92,liip-abnahme-datastore,464 GB,public,0a882911-13eb-4278-b9f1-3e8ca6c09ad7,1063 MB,1032 MB,31 MB
93,liip-abnahme-datastore,464 GB,public,0f683f60-4973-4afb-be59-63b95c6a5471,1062 MB,1032 MB,31 MB
94,liip-abnahme-datastore,464 GB,public,9f3680c7-ec69-46cd-998a-29ddbd19a39d,1062 MB,1032 MB,31 MB
95,liip-abnahme-datastore,464 GB,public,f64dd847-9969-43f2-92b5-18c7d9e258be,1062 MB,1031 MB,31 MB
